id;build_url;build_name;status;start_time;end_time
1;paradigms;Licensed Metal Tuna array program;IN_PROGRESS;2020-10-27T08:59:36;2020-10-26T19:31:33
2;capacitor bypassing deposit;Home Loan Account Ergonomic Unbranded;SUCCEEDED;2020-10-27T13:20:39;2020-10-27T11:12:23
3;USB Principal;hacking Roads Bedfordshire;SUCCEEDED;2020-10-27T01:16:29;2020-10-27T06:54:00
4;Prairie action-items synthesizing;withdrawal;IN_PROGRESS;2020-10-27T11:24:34;2020-10-27T07:41:08
5;payment Rubber workforce;bluetooth;SUCCEEDED;2020-10-27T08:47:29;2020-10-26T19:58:00
6;asymmetric parsing;Gloves intranet transmitting;SUCCEEDED;2020-10-26T18:15:50;2020-10-26T21:40:53
7;Ergonomic Fresh Soap quantify invoice;Handcrafted;SUCCEEDED;2020-10-27T02:16:31;2020-10-27T00:48:26
8;application Kansas Rustic Soft Shirt;killer Practical Rubber Pizza copy;FAILED;2020-10-26T22:19:03;2020-10-26T16:35:52
9;middleware;parsing plum enhance;IN_PROGRESS;2020-10-26T22:00:08;2020-10-27T11:17:11
10;Haiti;Burundi Franc compress;SUCCEEDED;2020-10-26T20:30:22;2020-10-27T10:46:08
