id;step;status;start_time;end_time;build_id
1;SCSI hack demand-driven;IN_PROGRESS;2020-10-27T20:05:54;2020-10-28T15:45:24;1
2;Product;IN_PROGRESS;2020-10-28T16:49:47;2020-10-28T12:58:34;2
3;best-of-breed eyeballs Orchestrator;FAILED;2020-10-28T11:54:10;2020-10-28T11:41:14;3
4;Savings Account Borders connect;IN_PROGRESS;2020-10-28T02:48:45;2020-10-27T22:56:27;4
5;Baby Morocco Sri Lanka Rupee;SUCCEEDED;2020-10-28T09:18:23;2020-10-28T19:04:36;5
6;Pants;SUCCEEDED;2020-10-28T18:23:52;2020-10-27T21:11:19;6
7;Awesome Wooden Soap haptic indexing;IN_PROGRESS;2020-10-28T15:01:40;2020-10-28T16:47:16;7
8;deposit asymmetric wireless;FAILED;2020-10-27T22:52:08;2020-10-27T22:18:29;8
9;Creative Practical;FAILED;2020-10-27T21:03:45;2020-10-27T21:54:56;9
10;Concrete calculating schemas;IN_PROGRESS;2020-10-28T10:12:20;2020-10-28T15:40:31;10
