id;version;build_status;start_time;end_time;build_url;component_id
1;relationships Agent e-services;SUCCEEDED;2020-10-22T12:07:12;2020-10-22T10:30:51;Bedfordshire;1
2;overriding;IN_PROGRESS;2020-10-22T03:02:27;2020-10-21T22:02:49;Sausages;2
3;Jewelery solutions;SUCCEEDED;2020-10-22T06:44:04;2020-10-22T01:37:52;Handcrafted Plastic Hat;3
4;Alabama microchip;IN_PROGRESS;2020-10-22T04:27:19;2020-10-21T20:51:22;Administrator Handmade Rubber Chips;4
5;Decentralized;FAILED;2020-10-21T20:28:39;2020-10-21T18:29:00;incubate Forward invoice;5
6;Tanzania Steel;IN_PROGRESS;2020-10-22T10:44:36;2020-10-22T05:30:42;Armenia;6
7;application Money Market Account Fish;FAILED;2020-10-22T09:49:28;2020-10-21T14:49:38;United Kingdom Expanded;7
8;utilisation Regional transmit;IN_PROGRESS;2020-10-22T10:19:22;2020-10-22T03:42:46;Generic;8
9;leverage;SUCCEEDED;2020-10-22T06:42:53;2020-10-22T06:32:26;Cotton Seamless;9
10;Granite France Steel;SUCCEEDED;2020-10-22T00:37:25;2020-10-22T01:46:37;Home;10
