id;short_name;full_name;description
1;cross-media Wisconsin;Licensed;deposit Georgia Integration
2;strategic Games Refined Steel Bacon;Cotton;panel Developer Legacy
3;Configuration Iceland;Indiana;recontextualize
4;Specialist alarm parsing;Norwegian Krone;mobile
5;transmit Expanded;Group Throughway;Face to face Administrator Wooden
6;mobile;Money Market Account;Run Nevada
7;Hat withdrawal zero defect;Heard Island and McDonald Islands;deliver Face to face mobile
8;Buckinghamshire;Credit Card Account relationships HDD;Computer sensor Cambridgeshire
9;vortals Handmade Concrete Pants;invoice;methodologies Intelligent Granite Bacon South Georgia and the South Sandwich Islands
10;visionary Concrete bus;Keyboard withdrawal Investment Account;Cambridgeshire Fish
