id;short_name;full_name;description
1;Generic Steel Tuna;website calculating;cross-platform support
2;navigate wireless Chilean Peso Unidades de fomento;reboot;Dynamic magenta Track
3;actuating THX;Division;Steel
4;Kina networks;Metical partnerships;Infrastructure
5;Internal compressing;withdrawal Bedfordshire;Credit Card Account
6;Gloves Lao People's Democratic Republic;neutral;Rustic Concrete Car
7;Computer Oklahoma Identity;throughput;Village
8;Identity Vermont indigo;JSON;New Mexico Implementation Steel
9;Shirt intangible;Prairie;Rubber CSS
10;Bike Keyboard Tunnel;Ergonomic Concrete Ball SMS;Gorgeous Rubber Cheese quantifying
