id;short_name;full_name;description
1;Small Granite Shirt yellow;contingency;Mexican Peso Mexican Unidad de Inversion (UDI)
2;violet;transmitter streamline Operations;e-business project Secured
3;Fundamental directional;Producer;Regional
4;azure Marketing bandwidth;Nepalese Rupee;green Consultant bandwidth
5;sensor Specialist pink;Handmade Fresh Bacon back-end;hierarchy
6;Avon emulation EXE;Hawaii;Handmade Massachusetts Frozen
7;Fresh;mobile;support magnetic
8;deposit;definition International;compressing
9;infomediaries Borders bypassing;Awesome expedite Wisconsin;Checking Account plug-and-play
10;strategic;virtual Lead;Kuwait pink Chile
